City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
0,Wagar,SD,1579318045,16.15,36.2,21,29,63.28,10.8
1,Busselton,AU,1579317821,-33.65,115.33,0,22,78.01,10.47
2,Russell,US,1579317924,32.35,-85.2,75,32,55.0,9.17
3,Kathu,TH,1579318047,7.92,98.33,0,66,84.2,9.17
4,Palu,ID,1579317794,-0.89,119.87,38,47,85.32,3.18
5,Mar del Plata,AR,1579318049,-38.0,-57.56,0,67,64.99,9.17
6,Vaini,TO,1579318049,-21.2,-175.2,90,94,80.6,14.99
7,Jamestown,US,1579318049,42.1,-79.24,1,85,19.99,3.36
8,Burns Lake,CA,1579317806,54.23,-125.75,100,98,-18.38,3.87
9,Butaritari,KI,1579317251,3.07,172.79,100,78,84.58,14.85
10,George Town,MY,1579317329,5.41,100.34,20,62,87.8,5.82
11,High Level,CA,1579317855,58.52,-117.14,90,75,-16.6,8.05
12,Cape Town,ZA,1579318010,-33.93,18.42,20,77,66.0,27.51
13,Mooresville,US,1579318049,35.58,-80.81,90,52,44.6,4.5
14,Vyshkov,RU,1579318050,52.48,31.69,90,100,26.6,6.71
15,Hermanus,ZA,1579318050,-34.42,19.23,100,92,64.0,11.01
16,Yar-Sale,RU,1579317497,66.83,70.83,100,96,0.88,6.11
17,Hobart,AU,1579318050,-42.88,147.33,20,36,64.99,9.17
18,Khatanga,RU,1579318050,71.97,102.5,100,98,-4.29,2.28
19,Valladolid,ES,1579318050,41.58,-4.67,100,86,39.2,4.7
20,Loreto,MX,1579318051,22.27,-101.97,100,66,57.58,4.68
21,Shimoda,JP,1579317496,34.67,138.95,75,93,41.0,27.51
22,Bilibino,RU,1579317800,68.05,166.44,84,87,-19.98,3.38
23,Thompson,CA,1579318052,55.74,-97.86,90,76,-7.6,10.29
24,Bandarbeyla,SO,1579317261,9.49,50.81,100,80,76.48,27.34
25,Tavda,RU,1579318052,58.04,65.27,89,81,4.33,7.58
26,Payson,US,1579318052,40.04,-111.73,1,68,30.2,5.82
27,Husavik,IS,1579317502,66.04,-17.34,20,68,28.4,29.97
28,Dunedin,NZ,1579317502,-45.87,170.5,100,63,66.99,15.17
29,Faanui,PF,1579318052,-16.48,-151.75,99,78,82.0,20.87
30,Arraial do Cabo,BR,1579317248,-22.97,-42.03,100,78,75.56,18.59
31,Udachny,RU,1579318026,66.42,112.4,100,94,-7.51,10.4
32,Mataura,NZ,1579318053,-46.19,168.86,100,43,75.69,1.39
33,Severo-Kuril'sk,RU,1579317461,50.68,156.12,99,84,17.69,19.77
34,Dikson,RU,1579318053,73.51,80.55,100,97,-9.29,9.86
35,Ulaanbaatar,MN,1579317921,47.91,106.88,75,75,-13.0,2.48
36,Castro,BR,1579317264,-24.79,-50.01,100,90,59.83,7.7
37,Kirovsk,UA,1579318053,48.64,38.64,27,97,27.25,5.37
38,Trebon,CZ,1579318053,49.0,14.77,100,90,37.99,3.78
39,Rikitea,PF,1579318053,-23.12,-134.97,0,79,78.03,16.96
40,Aykhal,RU,1579317484,66.0,111.5,100,99,-6.3,13.35
41,Pereira Barreto,BR,1579318054,-20.64,-51.11,100,91,74.55,12.48
42,Morant Bay,JM,1579318054,17.88,-76.41,20,54,80.6,4.7
43,Tuktoyaktuk,CA,1579318054,69.45,-133.04,5,83,-4.0,12.75
